stride_id,sensor,t_start,t_end,dt_stride_s,dt_stance_s,dt_swing_s,stance_pct,cadence_step_min,theta_range_rad,theta_range_deg,theta_swing_max_deg,stride_length_m,step_height_m,step_height_cm,stride_vel_kin_ms,step_order,cumul_distance_m
6,Mov2,10.664655689358904,11.852918161710871,1.1882624723519672,0.3168699926271916,0.8713924797247756,26.666666666666696,50.49389456964,0.30405815743797304,17.421249147720175,17.42099805874517,1.6028901809588236,0.0206411983231306,2.06411983231306,1.3489361300674336,11,9.822003971626067
6,Mov,10.828358589648255,12.4919332333093,1.663574643661045,0.8267461865467016,0.8368284571143434,49.696969696969724,36.06691183267702,0.34228590947377713,19.61153799964439,19.61114830388003,1.2875328711300682,0.026103525931362354,2.6103525931362355,0.7739555757453612,12,10.465770407191101
7,Mov2,11.852918161710871,13.031278446793237,1.1783602850823662,0.35647874170559035,0.8218815433767759,30.252100840336183,50.91821301140174,0.3148118218941205,18.037388735357272,18.037015571816756,1.6730611144615832,0.02211449427703679,2.211449427703679,1.4198213701208013,13,11.302300964421892
7,Mov,12.4919332333093,13.207774443611932,0.7158412103026315,0.3327149287322104,0.38312628157042106,46.47887323943682,83.8174711604466,0.31237784803341406,17.89793230569363,17.897469182865724,2.732939835437843,0.021776409347183823,2.1776409347183825,3.817801764000784,14,12.668770882140814
8,Mov2,13.031278446793237,14.219540919145205,1.1882624723519672,0.3960874907839891,0.7921749815679782,33.333333333333336,50.49389456964,0.3229461725629462,18.5034526977604,18.503228044501636,1.7016200528581074,0.023262400460154504,2.3262400460154504,1.4320237257767086,15,13.519580908569868
8,Mov,13.207774443611932,14.397482370593771,1.1897079269818391,0.8065816454114163,0.38312628157042283,67.79661016949152,50.432546206709354,0.33231293634572756,19.04012873020977,19.039605382608492,1.7483986533900602,0.02461801383726584,2.461801383726584,1.4696032645807104,16,14.393780235264899
9,Mov2,14.219540919145205,15.387999016957972,1.168458097812767,0.35647874170559035,0.8119793561071766,30.508474576271222,51.34972329115936,0.3397770075604617,19.46778850879912,19.467479698819073,1.8197991871634787,0.025726138445710818,2.572613844571082,1.5574364117720225,17,15.303679828846638
9,Mov,14.397482370593771,15.587190297575608,1.1897079269818374,0.7964993748437728,0.3932085521380646,66.9491525423729,50.43254620670943,0.34765860649675084,19.919370863663286,19.91901505037227,1.828340227529092,0.026921199741042512,2.6921199741042514,1.536797550107443,18,16.217849942611185
10,Mov2,15.387999016957972,16.54655492750114,1.1585559105431695,0.29706561808799314,0.8614902924551764,25.641025641025724,51.78860981501532,0.3226638581261849,18.487277272038366,18.487188053250396,1.7437389307622806,0.02322243711065133,2.322243711065133,1.5050969184083294,19,17.089719407992327
10,Mov,15.587190297575608,16.71640460115159,1.1292143035759832,0.7259234808702733,0.40329082270570993,64.28571428571414,53.13428975349734,0.30427467748738457,17.43365483273142,17.433303417260575,1.6878993406342155,0.020670143136074414,2.0670143136074413,1.4947555439999254,20,17.933669078309435
11,Mov2,16.54655492750114,17.69520865077471,1.1486537232735685,0.29706561808799137,0.8515881051855771,25.8620689655172,52.23506334790344,0.31113080480057176,17.826481991581414,17.826545959734318,1.6964244360524752,0.021605554116852953,2.160555411685295,1.4768806313688736,21,18.781881296335673
11,Mov,16.71640460115159,17.8758657164305,1.1594611152789085,0.7561702925732021,0.4032908227057064,65.2173913043479,51.748177846884495,0.3524543024248059,20.194144000168915,20.19378278022269,1.9016480048654507,0.027661281357706843,2.766128135770684,1.6401136526325069,22,19.732705298768398
