stride_id,sensor,t_start,t_end,dt_stride_s,dt_stance_s,dt_swing_s,stance_pct,cadence_step_min,theta_range_rad,theta_range_deg,theta_swing_max_deg,stride_length_m,step_height_m,step_height_cm,stride_vel_kin_ms,cumul_distance_m,step_order
9,Mov2,14.219540919145205,15.387999016957972,1.168458097812767,0.3564787417055886,0.8119793561071784,30.50847457627107,51.34972329115936,0.33977700756025053,19.46778850878702,19.467479698807008,1.8197991871623589,0.025726138445679243,2.572613844567924,1.5574364117710642,15.303679828840728,17
9,Mov,14.39748237059377,15.587190297575608,1.1897079269818391,0.7964993748437728,0.3932085521380664,66.9491525423728,50.432546206709354,0.3476586064964904,19.919370863648364,19.919015050357398,1.8283402275277332,0.026921199741002745,2.6921199741002746,1.5367975501062983,16.217849942604595,18
10,Mov2,15.387999016957972,16.546554927501138,1.158555910543166,0.29706561808799137,0.8614902924551746,25.64102564102565,51.78860981501548,0.32266385812608867,18.487277272032852,18.487188053244935,1.7437389307617703,0.02322243711063774,2.322243711063774,1.5050969184078935,17.08971940798548,19
10,Mov,15.587190297575608,16.71640460115159,1.1292143035759832,0.7259234808702733,0.40329082270570993,64.28571428571414,53.13428975349734,0.30427467748683457,17.433654832699908,17.433303417229098,1.687899340631188,0.020670143136000376,2.0670143136000374,1.4947555439972442,17.933669078301076,20
11,Mov2,16.546554927501138,17.695208650774706,1.1486537232735685,0.2970656180879949,0.8515881051855736,25.86206896551751,52.23506334790344,0.3111308048002993,17.826481991565803,17.826545959718768,1.696424436051002,0.021605554116815535,2.1605554116815537,1.4768806313675908,18.781881296326578,21
11,Mov,16.71640460115159,17.8758657164305,1.1594611152789085,0.7561702925732021,0.4032908227057064,65.2173913043479,51.748177846884495,0.3524543024247806,20.194144000167466,20.19378278022133,1.9016480048653155,0.027661281357703144,2.7661281357703142,1.6401136526323903,19.732705298759235,22
12,Mov2,17.695208650774706,18.883471123126675,1.188262472351969,0.3168699926271934,0.8713924797247756,26.666666666666806,50.49389456963993,0.31600898964907087,18.105981395085077,18.1057503946103,1.6653757515368763,0.022281954154661866,2.2281954154661867,1.4015217936156315,20.565393174527674,23
12,Mov,17.8758657164305,19.06557364341234,1.1897079269818391,0.8065816454114163,0.38312628157042283,67.79661016949152,50.432546206709354,0.37130486357520653,21.274201595540145,21.273753676112957,1.9513104152944845,0.03066411164323985,3.066411164323985,1.6401592113828718,21.541048382174917,24
13,Mov2,18.883471123126675,20.051929220939442,1.168458097812767,0.3663809289751896,0.8020771688375774,31.355932203389827,51.34972329115936,0.3122232065531405,17.8890720015363,17.888681764616035,1.6734792298718588,0.021755204692190583,2.1755204692190584,1.4322115897903736,22.377787997110847,25
13,Mov,19.06557364341234,20.668654663667528,1.603081020255189,0.7964993748437728,0.8065816454114163,49.685534591194944,37.427927373532754,0.35814068213110906,20.519949558048925,20.51964877122051,1.3973603459518296,0.028551584006751903,2.8551584006751902,0.8716716923823279,23.076468170086763,26
